C_1,C_2,h,r_0,Phi,RB,,
-0.3,-0.1,0.2,0.38,0.48,"0
",,
-0.3,0,0.2,0.4,0.52,"0
",,
-0.3,0.1,0.2,0.38,0.49,"0
",,
-0.3,0.2,0.2,0.36,0.44,"0
",,
-0.3,0.3,0.2,0.34,0.41,"0
",,
-0.2,-0.3,0.2,0.33,0.37,"0.2693
",,
-0.2,-0.2,0.2,0.36,0.42,"0.1952
",,
-0.2,-0.1,0.2,0.39,0.49,"0.0569
",,
-0.2,0,0.2,0.42,0.57,"0
",,
-0.2,0.1,0.2,0.41,0.55,"0
",,
-0.2,0.2,0.2,0.39,0.49,"0
",,
-0.2,0.3,0.2,0.36,0.44,"0
",,
-0.1,-0.3,0.2,0.33,0.37,"0.3170
",,
-0.1,-0.2,0.2,0.36,0.42,"0.2759
",,
-0.1,-0.1,0.2,0.39,0.49,"0.2057
",,
-0.1,0,0.2,0.43,0.59,"0
",,
-0.1,0.1,0.2,0.4,0.51,"0
",,
-0.1,0.2,0.2,0.36,0.43,"0
",,
-0.1,0.3,0.2,0.33,0.37,"0
",,
0,-0.3,0.2,0.33,0.36,"0.3713
",,
0,-0.2,0.2,0.36,0.41,"0.3639
",,
0,-0.1,0.2,0.39,0.48,"0.3316
",,
0,0,0.2,0.4,0.5,"0.1398
",,
0,0.1,0.2,0.36,0.42,"0
",,
0,0.2,0.2,0.33,0.36,"0
",,
0,0.3,0.2,0.31,0.31,"0
",,
0.1,-0.3,0.2,0.33,0.36,"0.4177
",,
0.1,-0.2,0.2,0.35,0.4,"0.4315
",,
0.1,-0.1,0.2,0.38,0.45,"0.3925
",,
0.1,0,0.2,0.36,0.42,"0.1358
",,
0.1,0.1,0.2,0.33,0.35,"0
",,
0.1,0.2,0.2,0.31,0.31,"0
",,
0.1,0.3,0.2,0.29,0.27,"0
",,
0.2,-0.3,0.2,0.32,0.35,"0.4470
",,
0.2,-0.2,0.2,0.34,0.39,"0.4761
",,
0.2,-0.1,0.2,0.36,0.41,"0.3871
",,
0.2,0,0.2,0.33,0.36,"0.1189
",,
0.2,0.1,0.2,0.31,0.31,"0.0204
",,
0.2,0.2,0.2,0.29,0.27,"0
",,
0.2,0.3,0.2,0.27,0.24,"0
",,
0.3,-0.3,0.2,0.32,0.34,"0.4544
",,
0.3,-0.2,0.2,0.33,0.37,"0.5016
",,
0.3,-0.1,0.2,0.33,0.37,"0.3640
",,
0.3,0,0.2,0.31,0.31,"0.1250
",,
0.3,0.1,0.2,0.29,0.27,"0.0516
",,
0.3,0.2,0.2,0.27,0.24,"0.0341
",,
0.3,0.3,0.2,0.25,0.21,0.03,,
-0.3,-0.3,0.22,0.33,0.36,"0.2356
",,
-0.3,-0.2,0.22,0.35,0.41,"0.1378
",,
-0.3,-0.1,0.22,0.38,0.47,"0
",,
-0.3,0,0.22,0.39,0.5,"0
",,
-0.3,0.1,0.22,0.38,0.47,"0
",,
-0.3,0.2,0.22,0.36,0.43,"0
",,
-0.3,0.3,0.22,0.34,0.39,"0
",,
-0.2,-0.3,0.22,0.33,0.36,"0.2712
",,
-0.2,-0.2,0.22,0.36,0.41,"0.2012
",,
-0.2,-0.1,0.22,0.39,0.48,"0.0689
",,
-0.2,0,0.22,0.41,0.55,"0
",,
-0.2,0.1,0.22,0.41,0.53,"0
",,
-0.2,0.2,0.22,0.38,0.48,"0
",,
-0.2,0.3,0.22,0.36,0.43,"0
",,
-0.1,-0.3,0.22,0.33,0.36,"0.3162
",,
